Task,Model,Accuracy,Precision,Recall,F1,Specificity,Balanced_Accuracy,ROC_AUC,Silhouette Score,Calinski-Harabasz Score,N Clusters
Churn Prediction,logistic_regression,0.4915,0.49152236080102396,0.4915,0.4914078199718706,0.5050100200400801,0.4915269661078644,0.4875029500118001,,,
Churn Prediction,random_forest,0.4865,0.48651569157764163,0.4865,0.4861396738229033,0.5130260521042084,0.4865529462117848,0.49560748242992975,,,
Churn Prediction,xgboost,0.4905,0.49047439795651904,0.4905,0.49043311767463665,0.4789579158316633,0.4904769619078476,0.49600898403593613,,,
Churn Prediction,lightgbm,0.4915,0.4914748812121612,0.4915,0.49143324894514767,0.47995991983967934,0.4914769659078636,0.4949249796999188,,,
Churn Prediction,catboost,0.5055,0.505509346958001,0.5055,0.5054944368402302,0.5090180360721442,0.5055070220280882,0.5003560014240057,,,
Customer Segmentation,kmeans_3,,,,,,,,0.029311169722780715,306.83746169474097,3.0
Customer Segmentation,kmeans_4,,,,,,,,0.024746729493024932,250.99489040064213,4.0
Customer Segmentation,kmeans_5,,,,,,,,0.024289489141353596,222.95171538201245,5.0
Customer Segmentation,gaussian_mixture,,,,,,,,0.07763907102482318,94.896526275768,4.0
Customer Segmentation,agglomerative,,,,,,,,0.0075026340012638824,134.05964614916292,4.0
